0,0, Header,0,Note+Octave,Note in MIDI,96,,Octave,,Note+Octave
,,,,A0,21,A,0,0,,A0
,,,,A#0,22,A#,0,0,,A#0
,,,,B0,23,B,0,0,,B0
1,0, Note_on_c,0,C1,24,C,1,1,,C1
1,0, Note_on_c,0,C#1,25,C#,1,1,,C#1
1,0, Note_on_c,0,D1,26,D,1,1,,D1
1,0, Note_on_c,0,D#1,27,D#,1,1,,D#1
1,0, Note_on_c,0,E1,28,E,1,1,,E1
1,0, Note_on_c,0,F1,29,F,1,1,,F1
1,0, Note_on_c,0,F#1,30,F#,1,1,,F#1
1,0, Note_on_c,0,G1,31,G,1,1,,G1
1,0, Note_on_c,0,G#1,32,G#,1,1,,G#1
1,0, Note_on_c,0,A1,33,A,1,1,,A1
1,0, Note_on_c,0,A#1,34,A#,1,1,,A#1
1,0, Note_on_c,0,B1,35,B,1,1,,B1
1,0, Note_on_c,0,C2,36,C,2,2,,C2
1,0, Note_on_c,0,C#2,37,C#,2,2,,C#2
1,0, Note_on_c,0,D2,38,D,2,2,,D2
1,0, Note_on_c,0,D#2,39,D#,2,2,,D#2
1,0, Note_on_c,0,E2,40,E,2,2,,E2
1,0, Note_on_c,0,F2,41,F,2,2,,F2
1,0, Note_on_c,0,F#2,42,F#,2,2,,F#2
1,0, Note_on_c,0,G2,43,G,2,2,,G2
1,0, Note_on_c,0,G#2,44,G#,2,2,,G#2
1,0, Note_on_c,0,A2,45,A,2,2,,A2
1,0, Note_on_c,0,A#2,46,A#,2,2,,A#2
1,0, Note_on_c,0,B2,47,B,2,2,,B2
1,0, Note_on_c,0,C3,48,C,3,3,,C3
1,0, Note_on_c,0,C#3,49,C#,3,3,,C#3
1,0, Note_on_c,0,D3,50,D,3,3,,D3
1,0, Note_on_c,0,D#3,51,D#,3,3,,D#3
1,0, Note_on_c,0,E3,52,E,3,3,,E3
1,0, Note_on_c,0,F3,53,F,3,3,,F3
1,0, Note_on_c,0,F#3,54,F#,3,3,,F#3
1,0, Note_on_c,0,G3,55,G,3,3,,G3
1,0, Note_on_c,0,G#3,56,G#,3,3,,G#3
1,0, Note_on_c,0,A3,57,A,3,3,,A3
1,0, Note_on_c,0,A#3,58,A#,3,3,,A#3
1,0, Note_on_c,0,B3,59,B,3,3,,B3
1,0, Note_on_c,0,C4,60,C,4,4,,C4
1,0, Note_on_c,0,C#4,61,C#,4,4,,C#4
1,0, Note_on_c,0,D4,62,D,4,4,,D4
1,0, Note_on_c,0,D#4,63,D#,4,4,,D#4
1,0, Note_on_c,0,E4,64,E,4,4,,E4
1,0, Note_on_c,0,F4,65,F,4,4,,F4
1,0, Note_on_c,0,F#4,66,F#,4,4,,F#4
1,0, Note_on_c,0,G4,67,G,4,4,,G4
1,0, Note_on_c,0,G#4,68,G#,4,4,,G#4
1,0, Note_on_c,0,A4,69,A,4,4,,A4
1,0, Note_on_c,0,A#4,70,A#,4,4,,A#4
1,0, Note_on_c,0,B4,71,B,4,4,,B4
1,0, Note_on_c,0,C5,72,C,5,5,,C5
1,0, Note_on_c,0,C#5,73,C#,5,5,,C#5
1,0, Note_on_c,0,D5,74,D,5,5,,D5
1,0, Note_on_c,0,D#5,75,D#,5,5,,D#5
1,0, Note_on_c,0,E5,76,E,5,5,,E5
1,0, Note_on_c,0,F5,77,F,5,5,,F5
1,0, Note_on_c,0,F#5,78,F#,5,5,,F#5
1,0, Note_on_c,0,G5,79,G,5,5,,G5
1,0, Note_on_c,0,G#5,80,G#,5,5,,G#5
1,0, Note_on_c,0,A5,81,A,5,5,,A5
1,0, Note_on_c,0,A#5,82,A#,5,5,,A#5
1,0, Note_on_c,0,B5,83,B,5,5,,B5
1,0, Note_on_c,0,C6,84,C,6,6,,C6
1,0, Note_on_c,0,C#6,85,C#,6,6,,C#6
1,0, Note_on_c,0,D6,86,D,6,6,,D6
1,0, Note_on_c,0,D#6,87,D#,6,6,,D#6
1,0, Note_on_c,0,E6,88,E,6,6,,E6
1,0, Note_on_c,0,F6,89,F,6,6,,F6
1,0, Note_on_c,0,F#6,90,F#,6,6,,F#6
1,0, Note_on_c,0,G6,91,G,6,6,,G6
1,0, Note_on_c,0,G#6,92,G#,6,6,,G#6
1,0, Note_on_c,0,A6,93,A,6,6,,A6
1,0, Note_on_c,0,A#6,94,A#,6,6,,A#6
1,0, Note_on_c,0,B6,95,B,6,6,,B6
1,0, Note_on_c,0,C7,96,C,7,7,,C7
1,0, Note_on_c,0,C#7,97,C#,7,7,,C#7
1,0, Note_on_c,0,D7,98,D,7,7,,D7
1,0, Note_on_c,0,D#7,99,D#,7,7,,D#7
1,0, Note_on_c,0,E7,100,E,7,7,,E7
1,0, Note_on_c,0,F7,101,F,7,7,,F7
1,0, Note_on_c,0,F#7,102,F#,7,7,,F#7
1,0, Note_on_c,0,G7,103,G,7,7,,G7
1,0, Note_on_c,0,G#7,104,G#,7,7,,G#7
1,0, Note_on_c,0,A7,105,A,7,7,,A7
1,0, Note_on_c,0,A#7,106,A#,7,7,,A#7
1,0, Note_on_c,0,B7,107,B,7,7,,B7
1,0, Note_on_c,0,C8,108,C,8,8,,C8
1,0, Note_on_c,0,C#8,109,C#,8,8,,C#8
1,0, Note_on_c,0,D8,110,D,8,8,,D8
1,0, Note_on_c,0,D#8,111,D#,8,8,,D#8
1,0, Note_on_c,0,E8,112,E,8,8,,E8
1,0, Note_on_c,0,F8,113,F,8,8,,F8
1,0, Note_on_c,0,F#8,114,F#,8,8,,F#8
1,0, Note_on_c,0,G8,115,G,8,8,,G8
1,0, Note_on_c,0,G#8,116,G#,8,8,,G#8
1,0, Note_on_c,0,A8,117,A,8,8,,A8
1,0, Note_on_c,0,A#8,118,A#,8,8,,A#8
1,0, Note_on_c,0,B8,119,B,8,8,,B8
1,0, Note_on_c,0,C9,120,C,9,9,,C9
1,0, Note_on_c,0,C#9,121,C#,9,9,,C#9
1,0, Note_on_c,0,D9,122,D,9,9,,D9
1,24, Note_off_c,0,D#9,123,D#,9,9,,D#9
1,24, Note_off_c,0,E9,124,E,9,9,,E9
1,24, Note_off_c,0,F9,125,F,9,9,,F9
1,24, Note_off_c,0,F#9,126,F#,9,9,,F#9
1,24, Note_off_c,0,G9,127,G,9,9,,G9
1,24, Note_off_c,0,G#9,128,G#,9,9,,G#9
1,24, Note_off_c,0,A99,129,A,99,99,,A99
1,24, Note_off_c,0,A#9,130,A#,9,9,,A#9
1,24, Note_off_c,0,B9,131,B,9,9,,B9
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
